"V1","V2"
"ENSG00000173821",37
"ENSG00000153130",24
"ENSG00000236501",24
"ENSG00000166669",23
"ENSG00000198160",23
"ENSG00000180104",22
"ENSG00000124177",21
"ENSG00000155761",21
"ENSG00000259035",20
"ENSG00000015568",20
"ENSG00000231698",20
"ENSG00000074771",18
"ENSG00000249242",18
"ENSG00000224739",17
"ENSG00000198216",17
"ENSG00000179603",17
"ENSG00000224957",17
"ENSG00000249839",17
"ENSG00000156299",16
"ENSG00000184916",16
"ENSG00000171604",16
"ENSG00000112425",15
"ENSG00000248296",15
"ENSG00000141519",15
"ENSG00000168826",15
"ENSG00000163029",14
"ENSG00000138892",14
"ENSG00000242808",14
"ENSG00000099954",14
"ENSG00000196782",14
"ENSG00000137075",14
"ENSG00000162302",14
"ENSG00000224638",14
"ENSG00000237121",13
"ENSG00000121898",13
"ENSG00000189283",13
"ENSG00000196104",13
"ENSG00000158352",13
"ENSG00000168066",13
"ENSG00000266312",13
"ENSG00000150045",13
"ENSG00000105963",13
"ENSG00000110887",13
"ENSG00000169427",13
"ENSG00000135945",13
"ENSG00000164176",12
"ENSG00000072657",12
"ENSG00000184156",12
"ENSG00000163104",12
"ENSG00000184903",12
"ENSG00000152127",12
"ENSG00000196734",12
"ENSG00000263438",12
"ENSG00000116132",12
"ENSG00000129595",12
"ENSG00000222209",12
"ENSG00000226159",12
"ENSG00000135365",12
"ENSG00000177738",12
"ENSG00000136143",12
"ENSG00000267098",11
"ENSG00000176095",11
"ENSG00000137871",11
"ENSG00000223727",11
"ENSG00000167491",11
"ENSG00000259164",11
"ENSG00000231584",11
"ENSG00000270647",11
"ENSG00000005339",11
"ENSG00000235831",11
"ENSG00000249955",11
"ENSG00000230525",11
"ENSG00000101336",11
"ENSG00000131370",11
"ENSG00000169604",11
"ENSG00000008382",10
"ENSG00000129824",10
"ENSG00000227051",10
"ENSG00000110080",10
"ENSG00000177103",10
"ENSG00000141376",10
"ENSG00000058804",10
"ENSG00000253171",10
"ENSG00000149948",10
"ENSG00000160868",10
"ENSG00000205944",10
"ENSG00000010017",10
"ENSG00000237400",10
"ENSG00000269113",10
"ENSG00000009830",10
"ENSG00000251291",10
"ENSG00000183971",10
"ENSG00000048392",10
"ENSG00000067066",10
"ENSG00000241472",10
"ENSG00000168852",9
"ENSG00000228623",9
"ENSG00000151468",9
"ENSG00000175866",9
"ENSG00000243902",9
"ENSG00000130300",9
"ENSG00000100578",9
"ENSG00000137478",9
"ENSG00000259639",9
"ENSG00000141449",9
"ENSG00000164451",9
"ENSG00000220804",9
"ENSG00000168546",9
"ENSG00000118307",9
"ENSG00000011454",9
"ENSG00000146416",9
"ENSG00000082068",9
"ENSG00000197498",9
"ENSG00000230606",9
"ENSG00000182050",9
"ENSG00000169902",9
"ENSG00000254130",9
"ENSG00000115652",9
"ENSG00000164574",8
"ENSG00000266076",8
"ENSG00000088538",8
"ENSG00000259133",8
"ENSG00000269891",8
"ENSG00000109182",8
"ENSG00000267374",8
"ENSG00000066032",8
"ENSG00000163697",8
"ENSG00000042813",8
"ENSG00000175984",8
"ENSG00000279853",8
"ENSG00000197702",8
"ENSG00000275700",8
"ENSG00000150938",8
"ENSG00000044524",8
"ENSG00000091972",8
"ENSG00000238755",8
"ENSG00000164946",8
"ENSG00000079739",8
"ENSG00000138316",8
"ENSG00000100565",8
"ENSG00000166979",8
"ENSG00000115604",8
"ENSG00000267413",8
"ENSG00000064489",8
"ENSG00000279200",8
